image_id,gender,age,headshape,hair,hair_type,hair_color,forehead_occlusion,eyebrow_size,eyebrow_shape,eyes_color,eyes_size,eyes_shape,bags_under_eyes,narrow_eyes,eye_makeup,eyes_occlusion,nose_size,lips_size,lipstick,mouth_open,chin_shape,mustache,beard,goatee,sideburns,makeup,skin,expression,smile,glasses,hat
04286.jpg,woman,young,triangle head,,wavy hair,brown hair,,thin eyebrow,straight eyebrow,blue eyes,normal eyes,deep set eyes,,,eye makeup,,,,lipstick,closed mouth,,,,,,wearing makeup,white skin,neutral,,,
01777.jpg,woman,young,round head,,wavy hair,black hair,,normal eyebrow,straight eyebrow,brown eyes,normal eyes,almond eyes,,,eye makeup,,pointy nose,full lips,lipstick,open mouth,,,,,,wearing makeup,fair skin,happiness,happy,,
02643.jpg,female,young,round head,,,brown hair,,thin eyebrow,straight eyebrow,brown eyes,normal eyes,almond eyes,bags under eyes,,eye makeup,,,,,open mouth,,,,,,less makeup,white skin,happiness,smile,,
04727.jpg,man,old,square head,,wavy hair,brown hair,,thick eyebrow,straight eyebrow,gray eyes,small eyes,deep set eyes,bags under eyes,narrow eyes,,,bulbous nose,,,closed mouth,,,,,,less makeup,fair skin,happiness,smile,,
00853.jpg,woman,young,round head,,,blond hair,,normal eyebrow,straight eyebrow,blue eyes,normal eyes,almond eyes,,,eye makeup,,pointy nose,big lips,,closed mouth,,,,,,less makeup,white skin,neutral,,,
04588.jpg,male,young,round head,,wavy hair,black hair,,bushy eyebrow,straight eyebrow,green eyes,small eyes,deep set eyes,bags under eyes,,eye makeup,,bulbous nose,big lips,,closed mouth,,mustache,beard,,,less makeup,white skin,neutral,,,
00457.jpg,man,young,rectangle head,,straight hair,brown hair,,bushy eyebrow,straight eyebrow,green eyes,normal eyes,almond eyes,,,eye makeup,,,,,open mouth,,,beard,,,less makeup,white skin,happiness,happy,,
02549.jpg,male,young,oval head,,,black hair,,normal eyebrow,straight eyebrow,brown eyes,small eyes,almond eyes,bags under eyes,,eye makeup,,bulbous nose,thick lips,,closed mouth,,mustache,beard,,,less makeup,white skin,neutral,,,
03504.jpg,man,young,rectangle head,,,brown hair,,normal eyebrow,straight eyebrow,gray eyes,small eyes,downturned eyes,bags under eyes,,,,,thick lips,,open mouth,,,,,,less makeup,fair skin,neutral,,,
01658.jpg,female,young,square head,,wavy hair,brown hair,,normal eyebrow,straight eyebrow,green eyes,normal eyes,almond eyes,,,eye makeup,,pointy nose,,lipstick,closed mouth,,,,,,wearing makeup,white skin,happiness,happy,,
00472.jpg,female,young,square head,,,brown hair,,thin eyebrow,round eyebrow,brown eyes,small eyes,upturned eyes,,,eye makeup,,,big lips,lipstick,open mouth,,,,,,heavy makeup,brown skin,neutral,,,
00390.jpg,female,young,oval head,,,blond hair,,normal eyebrow,angled eyebrow,gray eyes,normal eyes,almond eyes,,,eye makeup,,big nose,,lipstick,open mouth,,,,,,heavy makeup,fair skin,happiness,happy,,
04316.jpg,female,young,triangle head,,,black hair,,thick eyebrow,round eyebrow,black eyes,small eyes,almond eyes,,,eye makeup,,pointy nose,,lipstick,closed mouth,,,,,,wearing makeup,brown skin,neutral,,,
00122.jpg,woman,young,triangle head,,straight hair,brown hair,,thin eyebrow,angled eyebrow,brown eyes,normal eyes,upturned eyes,bags under eyes,,eye makeup,,bulbous nose,,lipstick,open mouth,,,,,,wearing makeup,fair skin,happiness,smile,,
04171.jpg,male,old,round head,,wavy hair,brown hair,,thick eyebrow,round eyebrow,gray eyes,normal eyes,deep set eyes,bags under eyes,,,,big nose,,,open mouth,,,,,,less makeup,pale skin,happiness,smile,,
01312.jpg,female,young,triangle head,,straight hair,brown hair,,thick eyebrow,straight eyebrow,brown eyes,small eyes,almond eyes,,,eye makeup,,pointy nose,,lipstick,closed mouth,,,,,,heavy makeup,white skin,neutral,,,
04278.jpg,man,young,triangle head,,straight hair,brown hair,,normal eyebrow,straight eyebrow,blue eyes,normal eyes,deep set eyes,,,,,bulbous nose,big lips,,closed mouth,,,beard,,,less makeup,white skin,neutral,,,
01801.jpg,woman,young,round head,,wavy hair,blonde hair,,thin eyebrow,round eyebrow,brown eyes,normal eyes,almond eyes,,,eye makeup,,,,lipstick,closed mouth,,,,,,wearing makeup,white skin,happiness,happy,,
02149.jpg,woman,young,round head,receding hair,wavy hair,blonde hair,,thin eyebrow,round eyebrow,blue eyes,normal eyes,almond eyes,,,eye makeup,,big nose,,lipstick,closed mouth,,,,,,wearing makeup,fair skin,happiness,happy,,
03634.jpg,female,young,round head,,,brown hair,,thick eyebrow,straight eyebrow,brown eyes,normal eyes,almond eyes,,,eye makeup,,,,,closed mouth,,,,,,less makeup,fair skin,neutral,,,
00403.jpg,man,old,square head,,,brown hair,,normal eyebrow,straight eyebrow,blue eyes,small eyes,deep set eyes,,,,,big nose,,,closed mouth,,,beard,,,less makeup,white skin,neutral,,,
01535.jpg,female,aged,square head,,wavy hair,brown hair,,normal eyebrow,straight eyebrow,green eyes,normal eyes,upturned eyes,,narrow eyes,eye makeup,,pointy nose,thick lips,lipstick,open mouth,,,,,,heavy makeup,pale skin,happiness,happy,,
01353.jpg,woman,young,triangle head,receding hair,wavy hair,black hair,,thin eyebrow,angled eyebrow,blue eyes,big eyes,almond eyes,,,eye makeup,,bulbous nose,,lipstick,open mouth,,,,,,wearing makeup,white skin,happiness,smile,,
00143.jpg,man,young,oval head,,,brown hair,,normal eyebrow,straight eyebrow,blue eyes,small eyes,deep set eyes,,,eye makeup,,,thick lips,,closed mouth,,,beard,,,less makeup,fair skin,neutral,,,
00265.jpg,male,young,oval head,,straight hair,brown hair,,normal eyebrow,straight eyebrow,blue eyes,normal eyes,upturned eyes,,,eye makeup,,,,,closed mouth,,,,,,less makeup,white skin,neutral,,,
01983.jpg,female,young,round head,,wavy hair,brown hair,,normal eyebrow,round eyebrow,brown eyes,small eyes,almond eyes,,,eye makeup,,pointy nose,big lips,lipstick,open mouth,,,,,,heavy makeup,fair skin,happiness,smile,,
00881.jpg,male,old,square head,,wavy hair,gray hair,,thick eyebrow,straight eyebrow,blue eyes,small eyes,deep set eyes,bags under eyes,,,,big nose,,,closed mouth,,,beard,,,less makeup,white skin,neutral,,,
02536.jpg,male,young,oval head,,straight hair,black hair,,bushy eyebrow,angled eyebrow,brown eyes,small eyes,deep set eyes,bags under eyes,,,,big nose,full lips,,closed mouth,,,,,,less makeup,fair skin,happiness,happy,,
02545.jpg,female,young,round head,,,blonde hair,,thin eyebrow,angled eyebrow,brown eyes,small eyes,almond eyes,,,eye makeup,,,,lipstick,open mouth,,,,,,heavy makeup,white skin,happiness,happy,,
00958.jpg,woman,young,oval head,,wavy hair,brown hair,,normal eyebrow,angled eyebrow,brown eyes,big eyes,almond eyes,,,,,big nose,,,closed mouth,,,,,,less makeup,brown skin,happiness,happy,,
01130.jpg,man,young,oval head,,wavy hair,blonde hair,,normal eyebrow,straight eyebrow,green eyes,normal eyes,almond eyes,,,eye makeup,,,full lips,,closed mouth,,,,,,less makeup,white skin,neutral,,,
01063.jpg,man,old,square head,,wavy hair,brown hair,,thick eyebrow,straight eyebrow,blue eyes,small eyes,deep set eyes,,narrow eyes,,,bulbous nose,,,closed mouth,,,beard,,,less makeup,white skin,neutral,,,
01682.jpg,woman,young,round head,,wavy hair,blonde hair,,thin eyebrow,angled eyebrow,green eyes,big eyes,almond eyes,,,eye makeup,,big nose,big lips,lipstick,open mouth,,,,,,heavy makeup,fair skin,happiness,happy,,
04479.jpg,female,aged,oval head,,,brown hair,,thin eyebrow,angled eyebrow,brown eyes,big eyes,almond eyes,,,eye makeup,,,full lips,lipstick,closed mouth,,,,,,heavy makeup,pale skin,happiness,smile,,
03098.jpg,male,young,square head,,,black hair,,bushy eyebrow,round eyebrow,black eyes,big eyes,almond eyes,,,eye makeup,,big nose,,,closed mouth,,,beard,,,less makeup,fair skin,neutral,,,
04695.jpg,female,young,oval head,,straight hair,blonde hair,,normal eyebrow,straight eyebrow,blue eyes,normal eyes,deep set eyes,,,eye makeup,,pointy nose,thick lips,lipstick,closed mouth,,,,,,wearing makeup,white skin,neutral,,,
04458.jpg,woman,young,triangle head,,straight hair,brown hair,,normal eyebrow,angled eyebrow,brown eyes,big eyes,upturned eyes,,,eye makeup,,pointy nose,,lipstick,closed mouth,,,,,,heavy makeup,fair skin,neutral,smile,,
04644.jpg,female,aged,triangle head,,wavy hair,blonde hair,,normal eyebrow,angled eyebrow,gray eyes,normal eyes,almond eyes,bags under eyes,,eye makeup,,big nose,,lipstick,open mouth,,,,,,heavy makeup,pale skin,happiness,happy,,
03823.jpg,female,young,triangle head,,,brown hair,,thin eyebrow,straight eyebrow,black eyes,normal eyes,almond eyes,,,eye makeup,,pointy nose,,lipstick,closed mouth,,,,,,wearing makeup,fair skin,neutral,,,
04919.jpg,woman,young,triangle head,,wavy hair,brown hair,,normal eyebrow,straight eyebrow,brown eyes,small eyes,almond eyes,,,eye makeup,,pointy nose,,lipstick,open mouth,,,,,,heavy makeup,fair skin,happiness,,,
04732.jpg,woman,young,round head,,wavy hair,blonde hair,,thin eyebrow,angled eyebrow,gray eyes,normal eyes,deep set eyes,,,eye makeup,,pointy nose,full lips,lipstick,open mouth,,,,,,heavy makeup,fair skin,happiness,,,
02784.jpg,female,young,triangle head,,,,forehead occlusion,normal eyebrow,straight eyebrow,black eyes,small eyes,almond eyes,,,eye makeup,,pointy nose,full lips,lipstick,open mouth,,,,,,heavy makeup,white skin,neutral,,,
03998.jpg,female,young,triangle head,,wavy hair,blonde hair,,normal eyebrow,angled eyebrow,brown eyes,big eyes,almond eyes,,,eye makeup,,pointy nose,full lips,lipstick,open mouth,,,,,,wearing makeup,pale skin,neutral,,,
00539.jpg,woman,young,oval head,,straight hair,blonde hair,,thin eyebrow,round eyebrow,brown eyes,big eyes,almond eyes,,,eye makeup,,,,lipstick,open mouth,,,,,,heavy makeup,white skin,happiness,smile,,
03385.jpg,woman,young,oval head,,straight hair,black hair,,bushy eyebrow,round eyebrow,black eyes,normal eyes,almond eyes,,narrow eyes,eye makeup,,big nose,full lips,lipstick,closed mouth,double chin,,,,,heavy makeup,fair skin,happiness,smile,,
04338.jpg,woman,young,oval head,,wavy hair,blonde hair,,normal eyebrow,straight eyebrow,blue eyes,normal eyes,almond eyes,,,eye makeup,,,,lipstick,open mouth,,,,,,heavy makeup,white skin,neutral,,,
01335.jpg,female,aged,rectangle head,,wavy hair,brown hair,,thin eyebrow,angled eyebrow,gray eyes,big eyes,upturned eyes,,,eye makeup,,pointy nose,,lipstick,closed mouth,,,,,,heavy makeup,white skin,happiness,happy,,
01259.jpg,woman,aged,triangle head,,wavy hair,black hair,,normal eyebrow,angled eyebrow,gray eyes,normal eyes,upturned eyes,,,eye makeup,,,,lipstick,open mouth,,,,,,wearing makeup,wheat colour skin,happiness,happy,,
00723.jpg,female,young,oval head,,wavy hair,black hair,,normal eyebrow,angled eyebrow,brown eyes,big eyes,almond eyes,,,eye makeup,,pointy nose,full lips,lipstick,open mouth,,,,,,heavy makeup,fair skin,happiness,happy,,
02339.jpg,woman,young,oval head,,,black hair,,normal eyebrow,round eyebrow,black eyes,small eyes,almond eyes,bags under eyes,,eye makeup,,bulbous nose,,lipstick,closed mouth,,,,,,wearing makeup,fair skin,happiness,happy,,
04406.jpg,woman,young,oval head,,,brown hair,,normal eyebrow,round eyebrow,blue eyes,normal eyes,almond eyes,,,eye makeup,,,big lips,lipstick,closed mouth,,,,,,less makeup,pale skin,neutral,,,
01257.jpg,male,young,round head,,wavy hair,black hair,,normal eyebrow,straight eyebrow,black eyes,small eyes,deep set eyes,,narrow eyes,eye makeup,,big nose,thick lips,,closed mouth,,,beard,,,less makeup,white skin,neutral,,,
00613.jpg,male,young,triangle head,,straight hair,black hair,,thick eyebrow,angled eyebrow,brown eyes,small eyes,downturned eyes,bags under eyes,,eye makeup,,bulbous nose,big lips,,open mouth,,,,,,less makeup,fair skin,happiness,smile,,
00527.jpg,female,young,triangle head,,wavy hair,black hair,,normal eyebrow,straight eyebrow,brown eyes,small eyes,upturned eyes,,narrow eyes,eye makeup,,,,lipstick,open mouth,,,,,,wearing makeup,fair skin,happiness,smile,,
01953.jpg,male,young,round head,,wavy hair,black hair,,normal eyebrow,straight eyebrow,black eyes,small eyes,almond eyes,bags under eyes,,eye makeup,,pointy nose,,,open mouth,double chin,,,,,less makeup,fair skin,happiness,smile,,
02097.jpg,man,young,oval head,,,brown hair,,thick eyebrow,round eyebrow,gray eyes,normal eyes,almond eyes,bags under eyes,,,,pointy nose,,,closed mouth,,,beard,,,less makeup,white skin,neutral,,,
04065.jpg,woman,young,oval head,,wavy hair,blonde hair,,normal eyebrow,round eyebrow,brown eyes,normal eyes,deep set eyes,bags under eyes,,eye makeup,,,,lipstick,open mouth,,,,,,heavy makeup,white skin,happiness,smile,,
02532.jpg,male,young,square head,,,black hair,,bushy eyebrow,straight eyebrow,blue eyes,normal eyes,almond eyes,bags under eyes,,eye makeup,,big nose,,,closed mouth,,,beard,,,less makeup,fair skin,neutral,,,
03602.jpg,woman,young,round head,,wavy hair,blonde hair,,thin eyebrow,angled eyebrow,green eyes,small eyes,deep set eyes,bags under eyes,,eye makeup,,,,lipstick,closed mouth,,,,,,heavy makeup,white skin,happiness,happy,,
03660.jpg,male,young,oval head,,,black hair,,bushy eyebrow,straight eyebrow,black eyes,small eyes,downturned eyes,bags under eyes,narrow eyes,,,bulbous nose,full lips,,open mouth,,,,,,less makeup,brown skin,happiness,smile,,hat
